Index;layername;layernamegerman;contenttype;material;System;Last;Moment in Querrichtung;Bewehrung aus Moment in Querrichtung ;Einzelner Plattenbalken;Mittragende Plattenbreite;Fachwerkmodell;Längsbewehrung Steg;Bügelbewehrung ;Querbewehrung Platte;Konstruktive Bewehrung;Bewehrung gesamt;;;;
0;arrow_load;Last;arrows;red;0;1;0;0;0;0;0;0;0;0;0;0;;;;
1;lines_sut_strut;Druckstreben;lines;green;0;0;0;0;0;0;1;1;1;1;1;0;;;;
2;lines_sut_tie;Zugstreben;lines;blue;0;0;0;0;0;0;1;1;1;1;1;0;;;;
3;mesh_load;Last;mesh;red;0;1;0;0;0;0;0;0;0;0;0;0;;;;
4;mesh_reinforcement_flange_long;Längsbewehrung Flansch;mesh;steel;0;0;0;0;0;0;0;0;0;0;0;1;;;;
5;mesh_reinforcement_web_long;Längsbewehrung Steg;mesh;steel;0;0;0;0;0;0;0;1;0;0;1;1;;;;
6;mesh_reinforcement_secondary;Konstruktive Bewehrung;mesh;steel;0;0;0;0;0;0;0;0;0;0;1;1;;;;
7;mesh_reinforcement_stirrups;Bügelbewehrung;mesh;steel;0;0;0;0;0;0;0;0;1;0;0;1;;;;
8;mesh_reinforcement_transverse_lower;Untere Querbewehrung Flansch;mesh;steel;0;0;0;1;0;0;0;0;0;1;0;1;;;;
9;mesh_reinforcement_transverse_upper;Obere Querbewehrung Flansch;mesh;steel;0;0;0;1;0;0;0;0;0;1;0;1;;;;
10;mesh_slab_strip;Plattenstreifen in Querrichtung;mesh;yellow;0;0;1;0;0;0;0;0;0;0;0;0;;;;
11;mesh_supports_multiple;Auflager (3 Plattenbalken);mesh;concrete;1;1;1;0;0;0;0;0;0;0;0;0;;;;
12;mesh_supports_single;Auflager (1 Plattenbalken);mesh;concrete;0;0;0;0;1;1;0;0;0;0;0;0;;;;
13;mesh_tbeam_effective;Mittragende Plattenbreite;mesh;concrete;0;0;0;0;0;1;0;0;0;0;0;0;;;;
14;mesh_tbeam_multiple;Mehrere Plattenbalken;mesh;concrete;1;1;0;0;0;0;0;0;0;0;0;0;;;;
15;mesh_tbeam_single;Enzelner Plattenbalken;mesh;concrete;0;0;0;0;1;0;0;0;0;0;0;0;;;;
16;mesh_transverse_bending;Querbiegung in Platte;mesh;orange;0;0;1;0;0;0;0;0;0;0;0;0;;;;
17;mesh_tbeam_effective_transparent;Plattenbalken (transparent);mesh;transparent;0;0;0;0;0;0;1;1;1;1;1;1;;;;
18;mesh_tbeam_multiple_transparent;Mehrere Plattenbalken (transparent);mesh;transparent;0;0;1;1;0;0;0;0;0;0;0;0;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
