Index,layername,layernamegerman,contenttype,material,Betongeometrie,Kräfte auf Wandscheibe,Fachwerkmodell Wandscheibe ,Zugstreben Wandscheibe,Bewehrung Strebe A,Bewehrung Strebe B,Bewehrung Strebe C ,Bewehrung Strebe D,Bewehrung Strebe E,Bewehrung Strebe F,Bewehrung Strebe H,Konstruktive Bewehrung Wandscheibe,Bewehrung Wandscheibe,Kräfte auf Wandscheibe,Kräfte auf Hohlkasten,Fachwerkmodell komplett,Fachwerkmodell Hohlkasten,Zugstreben Hohlkasten,Bügelbewehrung Hohlkasten,Verteilte Längsbewehrung Hohlkasten,Bewehrung Gurt 1-2/2-3 Hohlkasten,Bewehrung Gurt 3-4/4-1 Hohlkasten,Bewehrung Hohlkasten,Bewehrung komplett
0,lines_sut_beam_strut,Druckstreben Hohlkasten,lines,green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,lines_sut_beam_tie,Zugstreben Hohlkasten,lines,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
2,lines_sut_wall_strut,Druckstreben Wand,lines,green,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3,lines_sut_wall_tie,Zugstreben Wand,lines,blue,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
4,arrow_force_internal_beam,Einwirkungen Hohlkasten,arrow,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5,arrow_force_internal_wall,Auflagerkräfte Wand,arrow,orange,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
6,arrow_force_external,Äussere Last,arrow,red,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
7,mesh_concrete_wall,Beton Wand,mesh,concrete,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,mesh_concrete_beam,Beton Hohlkasten,mesh,concrete,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
9,mesh_reinforcement_wall_A,Bewehrung Strebe A,mesh,steel,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,mesh_reinforcement_wall_B,Bewehrung Strebe B,mesh,steel,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,mesh_reinforcement_wall_C,Bewehrung Strebe C,mesh,steel,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12,mesh_reinforcement_wall_D,Bewehrung Strebe D,mesh,steel,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13,mesh_reinforcement_wall_E,Bewehrung Strebe E,mesh,steel,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,mesh_reinforcement_wall_F,Bewehrung Strebe F,mesh,steel,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
15,mesh_reinforcement_wall_H,Bewehrung Strebe H,mesh,steel,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
16,mesh_reinforcement_beam_long,Längsbewehrung Hohlkasten,mesh,steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
17,mesh_reinforcement_beam_stirrups,Bügelbewehrung Hohlkasten,mesh,steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
18,mesh_reinforcement_beam_stringer_top,Bewehrung Stringer oben,mesh,steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
19,mesh_reinforcement_beam_stringer_bot,Bewehrung Stringer unten,mesh,steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
20,mesh_support,Umgebung ,mesh,concrete,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,mesh_reinforcement_wall_secondary,Konstruktive Bewehrung ,mesh,steel,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,mesh_wall_section,Wandabschnitt,mesh,concrete,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
